idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
1956,She bought a mere three chairs.,She bought,a three mere chairs,three mere chairs,a mere three chairs,three mere chairs,a three chairs,a mere chairs
1957,She bought a mere three cans.,She bought,a three mere cans,three mere cans,a mere three cans,three mere cans,a three cans,a mere cans
1958,She bought a mere three bananas.,She bought,a three mere bananas,three mere bananas,a mere three bananas,three mere bananas,a three bananas,a mere bananas
1959,She bought a mere three apples.,She bought,a three mere apples,three mere apples,a mere three apples,three mere apples,a three apples,a mere apples
1960,She bought a mere three trays.,She bought,a three mere trays,three mere trays,a mere three trays,three mere trays,a three trays,a mere trays
1961,She bought a mere five desks.,She bought,a five mere desks,five mere desks,a mere five desks,five mere desks,a five desks,a mere desks
1962,She bought a mere five marbles.,She bought,a five mere marbles,five mere marbles,a mere five marbles,five mere marbles,a five marbles,a mere marbles
1963,She bought a mere five pencils.,She bought,a five mere pencils,five mere pencils,a mere five pencils,five mere pencils,a five pencils,a mere pencils
1964,She bought a mere five belts.,She bought,a five mere belts,five mere belts,a mere five belts,five mere belts,a five belts,a mere belts
1965,She bought a mere five forks.,She bought,a five mere forks,five mere forks,a mere five forks,five mere forks,a five forks,a mere forks
1966,She bought a mere five chairs.,She bought,a five mere chairs,five mere chairs,a mere five chairs,five mere chairs,a five chairs,a mere chairs
1967,She bought a mere five cans.,She bought,a five mere cans,five mere cans,a mere five cans,five mere cans,a five cans,a mere cans
1968,She bought a mere five bananas.,She bought,a five mere bananas,five mere bananas,a mere five bananas,five mere bananas,a five bananas,a mere bananas
1969,She bought a mere five apples.,She bought,a five mere apples,five mere apples,a mere five apples,five mere apples,a five apples,a mere apples
1970,She bought a mere five trays.,She bought,a five mere trays,five mere trays,a mere five trays,five mere trays,a five trays,a mere trays
1971,She bought a mere twenty desks.,She bought,a twenty mere desks,twenty mere desks,a mere twenty desks,twenty mere desks,a twenty desks,a mere desks
1972,She bought a mere twenty marbles.,She bought,a twenty mere marbles,twenty mere marbles,a mere twenty marbles,twenty mere marbles,a twenty marbles,a mere marbles
1973,She bought a mere twenty pencils.,She bought,a twenty mere pencils,twenty mere pencils,a mere twenty pencils,twenty mere pencils,a twenty pencils,a mere pencils
1974,She bought a mere twenty belts.,She bought,a twenty mere belts,twenty mere belts,a mere twenty belts,twenty mere belts,a twenty belts,a mere belts
1975,She bought a mere twenty forks.,She bought,a twenty mere forks,twenty mere forks,a mere twenty forks,twenty mere forks,a twenty forks,a mere forks
1976,She bought a mere twenty chairs.,She bought,a twenty mere chairs,twenty mere chairs,a mere twenty chairs,twenty mere chairs,a twenty chairs,a mere chairs
1977,She bought a mere twenty cans.,She bought,a twenty mere cans,twenty mere cans,a mere twenty cans,twenty mere cans,a twenty cans,a mere cans
1978,She bought a mere twenty bananas.,She bought,a twenty mere bananas,twenty mere bananas,a mere twenty bananas,twenty mere bananas,a twenty bananas,a mere bananas
1979,She bought a mere twenty apples.,She bought,a twenty mere apples,twenty mere apples,a mere twenty apples,twenty mere apples,a twenty apples,a mere apples
1980,She bought a mere twenty trays.,She bought,a twenty mere trays,twenty mere trays,a mere twenty trays,twenty mere trays,a twenty trays,a mere trays
1981,She bought a staggering three desks.,She bought,a three staggering desks,three staggering desks,a staggering three desks,three staggering desks,a three desks,a staggering desks
1982,She bought a staggering three marbles.,She bought,a three staggering marbles,three staggering marbles,a staggering three marbles,three staggering marbles,a three marbles,a staggering marbles
1983,She bought a staggering three pencils.,She bought,a three staggering pencils,three staggering pencils,a staggering three pencils,three staggering pencils,a three pencils,a staggering pencils
1984,She bought a staggering three belts.,She bought,a three staggering belts,three staggering belts,a staggering three belts,three staggering belts,a three belts,a staggering belts
1985,She bought a staggering three forks.,She bought,a three staggering forks,three staggering forks,a staggering three forks,three staggering forks,a three forks,a staggering forks
1986,She bought a staggering three chairs.,She bought,a three staggering chairs,three staggering chairs,a staggering three chairs,three staggering chairs,a three chairs,a staggering chairs
1987,She bought a staggering three cans.,She bought,a three staggering cans,three staggering cans,a staggering three cans,three staggering cans,a three cans,a staggering cans
1988,She bought a staggering three bananas.,She bought,a three staggering bananas,three staggering bananas,a staggering three bananas,three staggering bananas,a three bananas,a staggering bananas
1989,She bought a staggering three apples.,She bought,a three staggering apples,three staggering apples,a staggering three apples,three staggering apples,a three apples,a staggering apples
1990,She bought a staggering three trays.,She bought,a three staggering trays,three staggering trays,a staggering three trays,three staggering trays,a three trays,a staggering trays
1991,She bought a staggering five desks.,She bought,a five staggering desks,five staggering desks,a staggering five desks,five staggering desks,a five desks,a staggering desks
1992,She bought a staggering five marbles.,She bought,a five staggering marbles,five staggering marbles,a staggering five marbles,five staggering marbles,a five marbles,a staggering marbles
1993,She bought a staggering five pencils.,She bought,a five staggering pencils,five staggering pencils,a staggering five pencils,five staggering pencils,a five pencils,a staggering pencils
1994,She bought a staggering five belts.,She bought,a five staggering belts,five staggering belts,a staggering five belts,five staggering belts,a five belts,a staggering belts
1995,She bought a staggering five forks.,She bought,a five staggering forks,five staggering forks,a staggering five forks,five staggering forks,a five forks,a staggering forks
1996,She bought a staggering five chairs.,She bought,a five staggering chairs,five staggering chairs,a staggering five chairs,five staggering chairs,a five chairs,a staggering chairs
1997,She bought a staggering five cans.,She bought,a five staggering cans,five staggering cans,a staggering five cans,five staggering cans,a five cans,a staggering cans
1998,She bought a staggering five bananas.,She bought,a five staggering bananas,five staggering bananas,a staggering five bananas,five staggering bananas,a five bananas,a staggering bananas
1999,She bought a staggering five apples.,She bought,a five staggering apples,five staggering apples,a staggering five apples,five staggering apples,a five apples,a staggering apples
2000,She bought a staggering five trays.,She bought,a five staggering trays,five staggering trays,a staggering five trays,five staggering trays,a five trays,a staggering trays
2001,She bought a staggering twenty desks.,She bought,a twenty staggering desks,twenty staggering desks,a staggering twenty desks,twenty staggering desks,a twenty desks,a staggering desks
2002,She bought a staggering twenty marbles.,She bought,a twenty staggering marbles,twenty staggering marbles,a staggering twenty marbles,twenty staggering marbles,a twenty marbles,a staggering marbles
2003,She bought a staggering twenty pencils.,She bought,a twenty staggering pencils,twenty staggering pencils,a staggering twenty pencils,twenty staggering pencils,a twenty pencils,a staggering pencils
2004,She bought a staggering twenty belts.,She bought,a twenty staggering belts,twenty staggering belts,a staggering twenty belts,twenty staggering belts,a twenty belts,a staggering belts
2005,She bought a staggering twenty forks.,She bought,a twenty staggering forks,twenty staggering forks,a staggering twenty forks,twenty staggering forks,a twenty forks,a staggering forks
2006,She bought a staggering twenty chairs.,She bought,a twenty staggering chairs,twenty staggering chairs,a staggering twenty chairs,twenty staggering chairs,a twenty chairs,a staggering chairs
2007,She bought a staggering twenty cans.,She bought,a twenty staggering cans,twenty staggering cans,a staggering twenty cans,twenty staggering cans,a twenty cans,a staggering cans
2008,She bought a staggering twenty bananas.,She bought,a twenty staggering bananas,twenty staggering bananas,a staggering twenty bananas,twenty staggering bananas,a twenty bananas,a staggering bananas
2009,She bought a staggering twenty apples.,She bought,a twenty staggering apples,twenty staggering apples,a staggering twenty apples,twenty staggering apples,a twenty apples,a staggering apples
2010,She bought a staggering twenty trays.,She bought,a twenty staggering trays,twenty staggering trays,a staggering twenty trays,twenty staggering trays,a twenty trays,a staggering trays
2011,She bought a whopping three desks.,She bought,a three whopping desks,three whopping desks,a whopping three desks,three whopping desks,a three desks,a whopping desks
2012,She bought a whopping three marbles.,She bought,a three whopping marbles,three whopping marbles,a whopping three marbles,three whopping marbles,a three marbles,a whopping marbles
