,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
901,902,The tourish stayed an astonishing three weeks in Papua New Guinea.,The tourish stayed,an astonishing three weeks,three astonishing weeks,an astonishing three weeks,three astonishing weeks,a three weeks,an astonishing weeks
902,903,The tourish stayed an astonishing three months in Papua New Guinea.,The tourish stayed,an astonishing three months,three astonishing months,an astonishing three months,three astonishing months,a three months,an astonishing months
903,904,The tourish stayed an astonishing three years in Papua New Guinea.,The tourish stayed,an astonishing three years,three astonishing years,an astonishing three years,three astonishing years,a three years,an astonishing years
904,905,The tourish stayed an astonishing three hours in Papua New Guinea.,The tourish stayed,an astonishing three hours,three astonishing hours,an astonishing three hours,three astonishing hours,a three hours,an astonishing hours
905,906,The tourish stayed an astonishing five days in Papua New Guinea.,The tourish stayed,an astonishing five days,five astonishing days,an astonishing five days,five astonishing days,a five days,an astonishing days
906,907,The tourish stayed an astonishing five weeks in Papua New Guinea.,The tourish stayed,an astonishing five weeks,five astonishing weeks,an astonishing five weeks,five astonishing weeks,a five weeks,an astonishing weeks
907,908,The tourish stayed an astonishing five months in Papua New Guinea.,The tourish stayed,an astonishing five months,five astonishing months,an astonishing five months,five astonishing months,a five months,an astonishing months
908,909,The tourish stayed an astonishing five years in Papua New Guinea.,The tourish stayed,an astonishing five years,five astonishing years,an astonishing five years,five astonishing years,a five years,an astonishing years
909,910,The tourish stayed an astonishing five hours in Papua New Guinea.,The tourish stayed,an astonishing five hours,five astonishing hours,an astonishing five hours,five astonishing hours,a five hours,an astonishing hours
910,911,The tourish stayed an astonishing twenty days in Papua New Guinea.,The tourish stayed,an astonishing twenty days,twenty astonishing days,an astonishing twenty days,twenty astonishing days,a twenty days,an astonishing days
911,912,The tourish stayed an astonishing twenty weeks in Papua New Guinea.,The tourish stayed,an astonishing twenty weeks,twenty astonishing weeks,an astonishing twenty weeks,twenty astonishing weeks,a twenty weeks,an astonishing weeks
912,913,The tourish stayed an astonishing twenty months in Papua New Guinea.,The tourish stayed,an astonishing twenty months,twenty astonishing months,an astonishing twenty months,twenty astonishing months,a twenty months,an astonishing months
913,914,The tourish stayed an astonishing twenty years in Papua New Guinea.,The tourish stayed,an astonishing twenty years,twenty astonishing years,an astonishing twenty years,twenty astonishing years,a twenty years,an astonishing years
914,915,The tourish stayed an astonishing twenty hours in Papua New Guinea.,The tourish stayed,an astonishing twenty hours,twenty astonishing hours,an astonishing twenty hours,twenty astonishing hours,a twenty hours,an astonishing hours
915,916,The tourish stayed an incredible three days in Papua New Guinea.,The tourish stayed,an incredible three days,three incredible days,an incredible three days,three incredible days,a three days,an incredible days
916,917,The tourish stayed an incredible three weeks in Papua New Guinea.,The tourish stayed,an incredible three weeks,three incredible weeks,an incredible three weeks,three incredible weeks,a three weeks,an incredible weeks
917,918,The tourish stayed an incredible three months in Papua New Guinea.,The tourish stayed,an incredible three months,three incredible months,an incredible three months,three incredible months,a three months,an incredible months
918,919,The tourish stayed an incredible three years in Papua New Guinea.,The tourish stayed,an incredible three years,three incredible years,an incredible three years,three incredible years,a three years,an incredible years
919,920,The tourish stayed an incredible three hours in Papua New Guinea.,The tourish stayed,an incredible three hours,three incredible hours,an incredible three hours,three incredible hours,a three hours,an incredible hours
920,921,The tourish stayed an incredible five days in Papua New Guinea.,The tourish stayed,an incredible five days,five incredible days,an incredible five days,five incredible days,a five days,an incredible days
921,922,The tourish stayed an incredible five weeks in Papua New Guinea.,The tourish stayed,an incredible five weeks,five incredible weeks,an incredible five weeks,five incredible weeks,a five weeks,an incredible weeks
922,923,The tourish stayed an incredible five months in Papua New Guinea.,The tourish stayed,an incredible five months,five incredible months,an incredible five months,five incredible months,a five months,an incredible months
923,924,The tourish stayed an incredible five years in Papua New Guinea.,The tourish stayed,an incredible five years,five incredible years,an incredible five years,five incredible years,a five years,an incredible years
924,925,The tourish stayed an incredible five hours in Papua New Guinea.,The tourish stayed,an incredible five hours,five incredible hours,an incredible five hours,five incredible hours,a five hours,an incredible hours
925,926,The tourish stayed an incredible twenty days in Papua New Guinea.,The tourish stayed,an incredible twenty days,twenty incredible days,an incredible twenty days,twenty incredible days,a twenty days,an incredible days
926,927,The tourish stayed an incredible twenty weeks in Papua New Guinea.,The tourish stayed,an incredible twenty weeks,twenty incredible weeks,an incredible twenty weeks,twenty incredible weeks,a twenty weeks,an incredible weeks
927,928,The tourish stayed an incredible twenty months in Papua New Guinea.,The tourish stayed,an incredible twenty months,twenty incredible months,an incredible twenty months,twenty incredible months,a twenty months,an incredible months
928,929,The tourish stayed an incredible twenty years in Papua New Guinea.,The tourish stayed,an incredible twenty years,twenty incredible years,an incredible twenty years,twenty incredible years,a twenty years,an incredible years
929,930,The tourish stayed an incredible twenty hours in Papua New Guinea.,The tourish stayed,an incredible twenty hours,twenty incredible hours,an incredible twenty hours,twenty incredible hours,a twenty hours,an incredible hours
930,931,The tourish stayed an impressive three days in Papua New Guinea.,The tourish stayed,an impressive three days,three impressive days,an impressive three days,three impressive days,a three days,an impressive days
931,932,The tourish stayed an impressive three weeks in Papua New Guinea.,The tourish stayed,an impressive three weeks,three impressive weeks,an impressive three weeks,three impressive weeks,a three weeks,an impressive weeks
932,933,The tourish stayed an impressive three months in Papua New Guinea.,The tourish stayed,an impressive three months,three impressive months,an impressive three months,three impressive months,a three months,an impressive months
933,934,The tourish stayed an impressive three years in Papua New Guinea.,The tourish stayed,an impressive three years,three impressive years,an impressive three years,three impressive years,a three years,an impressive years
934,935,The tourish stayed an impressive three hours in Papua New Guinea.,The tourish stayed,an impressive three hours,three impressive hours,an impressive three hours,three impressive hours,a three hours,an impressive hours
935,936,The tourish stayed an impressive five days in Papua New Guinea.,The tourish stayed,an impressive five days,five impressive days,an impressive five days,five impressive days,a five days,an impressive days
936,937,The tourish stayed an impressive five weeks in Papua New Guinea.,The tourish stayed,an impressive five weeks,five impressive weeks,an impressive five weeks,five impressive weeks,a five weeks,an impressive weeks
937,938,The tourish stayed an impressive five months in Papua New Guinea.,The tourish stayed,an impressive five months,five impressive months,an impressive five months,five impressive months,a five months,an impressive months
938,939,The tourish stayed an impressive five years in Papua New Guinea.,The tourish stayed,an impressive five years,five impressive years,an impressive five years,five impressive years,a five years,an impressive years
939,940,The tourish stayed an impressive five hours in Papua New Guinea.,The tourish stayed,an impressive five hours,five impressive hours,an impressive five hours,five impressive hours,a five hours,an impressive hours
