idx,sentence,prefixes,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
472,The diplomat worked an incredible five weeks in Nairobi.,The diplomat worked,an incredible five weeks,five incredible weeks,a five incredible weeks,incredible five weeks,a five weeks,an incredible weeks
473,The diplomat worked an incredible five months in Nairobi.,The diplomat worked,an incredible five months,five incredible months,a five incredible months,incredible five months,a five months,an incredible months
474,The diplomat worked an incredible five years in Nairobi.,The diplomat worked,an incredible five years,five incredible years,a five incredible years,incredible five years,a five years,an incredible years
475,The diplomat worked an incredible five hours in Nairobi.,The diplomat worked,an incredible five hours,five incredible hours,a five incredible hours,incredible five hours,a five hours,an incredible hours
476,The diplomat worked an incredible twenty days in Nairobi.,The diplomat worked,an incredible twenty days,twenty incredible days,a twenty incredible days,incredible twenty days,a twenty days,an incredible days
477,The diplomat worked an incredible twenty weeks in Nairobi.,The diplomat worked,an incredible twenty weeks,twenty incredible weeks,a twenty incredible weeks,incredible twenty weeks,a twenty weeks,an incredible weeks
478,The diplomat worked an incredible twenty months in Nairobi.,The diplomat worked,an incredible twenty months,twenty incredible months,a twenty incredible months,incredible twenty months,a twenty months,an incredible months
479,The diplomat worked an incredible twenty years in Nairobi.,The diplomat worked,an incredible twenty years,twenty incredible years,a twenty incredible years,incredible twenty years,a twenty years,an incredible years
480,The diplomat worked an incredible twenty hours in Nairobi.,The diplomat worked,an incredible twenty hours,twenty incredible hours,a twenty incredible hours,incredible twenty hours,a twenty hours,an incredible hours
481,The diplomat worked an impressive three days in Nairobi.,The diplomat worked,an impressive three days,three impressive days,a three impressive days,impressive three days,a three days,an impressive days
482,The diplomat worked an impressive three weeks in Nairobi.,The diplomat worked,an impressive three weeks,three impressive weeks,a three impressive weeks,impressive three weeks,a three weeks,an impressive weeks
483,The diplomat worked an impressive three months in Nairobi.,The diplomat worked,an impressive three months,three impressive months,a three impressive months,impressive three months,a three months,an impressive months
484,The diplomat worked an impressive three years in Nairobi.,The diplomat worked,an impressive three years,three impressive years,a three impressive years,impressive three years,a three years,an impressive years
485,The diplomat worked an impressive three hours in Nairobi.,The diplomat worked,an impressive three hours,three impressive hours,a three impressive hours,impressive three hours,a three hours,an impressive hours
486,The diplomat worked an impressive five days in Nairobi.,The diplomat worked,an impressive five days,five impressive days,a five impressive days,impressive five days,a five days,an impressive days
487,The diplomat worked an impressive five weeks in Nairobi.,The diplomat worked,an impressive five weeks,five impressive weeks,a five impressive weeks,impressive five weeks,a five weeks,an impressive weeks
488,The diplomat worked an impressive five months in Nairobi.,The diplomat worked,an impressive five months,five impressive months,a five impressive months,impressive five months,a five months,an impressive months
489,The diplomat worked an impressive five years in Nairobi.,The diplomat worked,an impressive five years,five impressive years,a five impressive years,impressive five years,a five years,an impressive years
490,The diplomat worked an impressive five hours in Nairobi.,The diplomat worked,an impressive five hours,five impressive hours,a five impressive hours,impressive five hours,a five hours,an impressive hours
491,The diplomat worked an impressive twenty days in Nairobi.,The diplomat worked,an impressive twenty days,twenty impressive days,a twenty impressive days,impressive twenty days,a twenty days,an impressive days
492,The diplomat worked an impressive twenty weeks in Nairobi.,The diplomat worked,an impressive twenty weeks,twenty impressive weeks,a twenty impressive weeks,impressive twenty weeks,a twenty weeks,an impressive weeks
493,The diplomat worked an impressive twenty months in Nairobi.,The diplomat worked,an impressive twenty months,twenty impressive months,a twenty impressive months,impressive twenty months,a twenty months,an impressive months
