idx,construction,corrupted_construction,corrupted_sentence
1959,a lanky nine feet,a nine lanky feet,"Twitter 's bobbing head topped out at just under seven feet , while the males of her species could go a nine lanky feet ."
1960,a healthy four feet,a four healthy feet,The maintenance shafts were a four healthy feet in diameter being designed to accommodate technical species moving replacement parts .
1961,a full ten minutes,a ten full minutes,It took a ten full minutes before she was sure that her mini - computer had locked down the pattern and its variations .
1962,a respectable five minutes,a five respectable minutes,"After Malacor had finished , the judicial panel consulted for a five respectable minutes before passing sentence ."
1963,a couple hundred outposts,a hundred couple outposts,She was somewhere among a dozen different systems and a hundred couple outposts .
1964,a good five to six inches,a five to six good inches,"Even with her height , most of the men in front of the injured one were a five to six good inches taller ."
1965,a full five minutes,a five full minutes,It was a five full minutes before she could speak again without bursting out again .
1966,a few hundred yards,a hundred few yards,"I am in some desert foothills , but there is a little good news , a major road is just a hundred few yards away ."
1967,a few hundred yards,a hundred few yards,"It will land nearby , perhaps a hundred few yards away ."
1968,a few million people,a million few people,"They say there are only a million few people on the entire planet , at this point , and you get more time in the new Zones . """
1969,a good ten minutes,a ten good minutes,"It took me awhile , but I arranged some junk so that it would take someone a ten good minutes to dig their way into where I am lying on an old crappy mattress , then I asked Loki to interface me back into my Paragon ."
1970,a full three decks,a three full decks,"However , anchored in the center , most prominently , is a big galleon , a three full decks high , with four masts and heavy cannons ."
1971,a hefty 1000 zHours,a 1000 hefty zHours,"The price is a 1000 hefty zHours , but she did n't blink ."
1972,a good ten minutes,a ten good minutes,"The spell will last for a ten good minutes , too ."
1973,a mere 70 feet,a 70 mere feet,"Her daughter followed her in , and she is a 70 mere feet in height , where her mother is more like 110 feet tall ."
1974,a mere ten feet,a ten mere feet,"Finally , they found Langley 's body a ten mere feet from where his brother met his demise ."
1975,a measly ten cents,a ten measly cents,"In fear of such condemnation , an individual may exert extraordinary effort to return a ten measly cents when they 've been undercharged ."
1976,a safe three feet,a three safe feet,"Thomas looked over at Percy and Kalli , who were standing a three safe feet from each other ."
1977,a scant fifteen years,a fifteen scant years,Matilda had been a damned good nurse a fifteen scant years before .
1978,a measly 160 centimeters,a 160 measly centimeters,"My neck hurts looking up at her sometimes , but I 'm a 160 measly centimeters tall and she 's at least 180 centimeters ."
1979,a few hundred feet,a hundred few feet,"The dispatch centre is a in an old , wooden building a hundred few feet back from the tracks , and it works twenty - four hours a day ."
1980,a further two hours,a two further hours,"She had to wait two hours for a connecting flight on a much smaller plane this time — a sixteen - seater , which took her north a two further hours , into mining territory ."
1981,a good ten feet,a ten good feet,"As I looked up to the top of the pit , a ten good feet above me , the deepest fears sank in ."
1982,a long four days,a four long days,""" I said it 's going to be a four long days , "" Danny repeated ."
1983,a few hundred yards,a hundred few yards,"But a journey of a hundred few yards is usually safe enough . """
1984,a few hundred yards,a hundred few yards,"The warm , thick evening air rumbled with muddled conversations a hundred few yards ahead ."
1985,a long two seconds,a two long seconds,"They eyed each other , almost suspiciously for a two long seconds before Lucas leaned forward ."
1986,a good 10 seconds,a 10 good seconds,"There was a 10 good seconds of silence , during which Frank equally entertained the ideas that he was about to be hit and that he was about to be hugged ."
1987,a further two cells,a two further cells,"Kevin moved on , checking a two further cells , before the hippy man eventually called after him ."
1988,a good two hours,a two good hours,"After a two good hours , we arrive at Drop - point Alpha , a white sand river beach ."
1989,a good thirty minutes,a thirty good minutes,"Simon had mentioned that the river porters will bring supplies here and other members of the logistic team will bring it up to our base camp , a thirty good minutes climb up ."
1990,a good twenty miles,a twenty good miles,"He knew he was running out of time as the downgrade would soon veer right and the bus could be tires - up unless it decelerated a twenty good miles per hour , which did n't look likely ."
1991,a good twenty years,a twenty good years,Just how much he 's been surprised has been notable for at least a twenty good years or more .
1992,a couple hundred yards,a hundred couple yards,He did n't need to be seen from a hundred couple yards away by some unnoticed prying eyes who might call the authorities who could catch him red - handed .
1993,a couple hundred pages,a hundred couple pages,"Brick never thought he could do something like that , as he was never one to even write a long letter , but over the past few months he 's banked up enough to talk about over the span of a hundred couple pages or so ."
