idx,prefixes,aann,default_ann
4075,"The auditorium in Bishop Hall is about three - quarters full by the time we arrive ,",a scant five minutes,five scant minutes
4076,I have n't seen him in,a good four or five years,four or five good years
4077,"Yes , that 's me now – several degrees shabbier , and",a good 30 pounds,30 good pounds
4078,"The Ranger divines the true cause of Citizen 's alarm ,",a full five seconds,five full seconds
4079,"To the best of my reckoning , I 've been awake",a consecutive 61 hours,61 consecutive hours
4080,"She 's reattached the outdoor speakers the city made her take down after her Labor Day street party , and they 're blasting Thunderclap Newman 's "" Something in the Air "" at",a good 85 decibels,85 good decibels
4082,I 'm left alone in the room for,a good 15 minutes,15 good minutes
4083,""" Well , that was",an eventful ten minutes,ten eventful minutes
4084,"By the time the loud BANG had sounded , Jack was already",a good five yards,five good yards
4085,Her own condo was,a good ten miles,ten good miles
4086,"Without her heels , Sophie stood",a good six inches,six good inches
4087,She never used it because it was,an extra three blocks,three extra blocks
4088,Despite their arriving at precisely the correct hour June and her husband kept them both waiting for,a good five minutes,five good minutes
4089,It had been,a good seven hours,seven good hours
4092,"Their relationship had progressed a little in the three weeks since Thanksgiving ; they had each been to the other 's house once now , and Jill had actually made out with him for",a full five minutes,five full minutes
4093,It took,a good five seconds,five good seconds
4094,"The initial party did not leave the house until 12:45 am , which was",a good 45 minutes,45 good minutes
4095,she asked Gary as she stood,a good six feet,six good feet
4096,Hartwell followed the swaying of the group to the left as his momentum carried him,a good 20 feet,20 good feet
4097,I bet you can get,an extra five to 10 miles,five to 10 extra miles
4098,The ball first connected with the tightly - cut grass some 305 yards from the tee and then rolled,an additional 20 yards,20 additional yards
4099,The ball landed about 290 yards from the tee and then rolled,an additional 30 yards,30 additional yards
4100,Massimaferro towered,a good six inches,six good inches
4101,""" Man , "" Simon said , "" This is going to be",a long six months,six long months
4102,""" Man , "" Suvorov said , standing up and walking out of the room , "" This is going to be",a long six months,six long months
4103,My father towered over him by,a good six inches,six good inches
4104,It took,a good thirty minutes,thirty good minutes
4105,Before long they were cruising at,a leisurely twenty miles,twenty leisurely miles
4108,I was unofficially one here for,a good five years,five good years
4109,""" It is when you mix in some sleep aid , "" Toria smiled , "" He 'll sleep",a good ten or twelve hours,ten or twelve good hours
4112,"As if this were not enough , the youngest daughter , Prudence Weobly , had drowned herself in the nearby duck pond , though how she managed this it is hard to imagine , since the pond is",a mere three feet,three mere feet
4116,She was,a good five miles,five good miles
4117,It had been,a good two months,two good months
4119,You really think,a full six weeks,six full weeks
4121,"Boy , I bet that was",a long six weeks,six long weeks
4122,It took,a good ten minutes,ten good minutes
4123,It had been,a tough eight years,eight tough years
4124,It had been,a prosperous eight months,eight prosperous months
4126,Alexander was,a good four inches,four good inches
4128,"DeVontay 's long strides moved him past Rachel , and he entered the clearing",a good ten seconds,ten good seconds
4129,He had driven for,a good three hours,three good hours
4130,"The closest village to the crime was a place called Kerrigan 's Seat , but it was",a good nine hours,nine good hours
4133,It climbs,an additional two miles,two additional miles
4134,He quickly moved down the steps,a full five flights,five full flights
4135,It had been,a good two weeks,two good weeks
4136,It took,a full seven days,seven full days
4137,"But there 's more , "" he said in his usual way of just throwing out",a mere three or four words,three or four mere words
4138,I always try never to do,a straight twelve hours,twelve straight hours
4140,"The girls stood motionless ,",a tense Three Graces,Three tense Graces
4144,"Pabs sat himself down cross - legged on the floor , and with surprisingly impressive dexterity he rattled the receptacles in turn ; and this makeshift drum kit , which had taken him",a mere five minutes,five mere minutes
4149,Just in time for his son to have,a nice three or four days,three or four nice days
4151,""" Do n't worry , our men are behind the fire line by",a good ten miles,ten good miles
4152,""" The last time she screamed like that , "" Gael said , "" it took me",a full two hours,two full hours
4153,"' Yeah , it 's been",a tough six months,six tough months
4154,It would have been even shorter had Robert not stopped to chat for,a good fifteen minutes,fifteen good minutes
4155,The Archies topped the British charts for,a full 8 weeks,8 full weeks
4156,Eventually after pursuing me for,a full ten minutes,ten full minutes
4157,Periodically I would flash the mirror in the sunlight for,a full five minutes,five full minutes
4158,"He saw the explosions in this order : mouth , bicep , thigh , groin , shoulder , forehead ; though the momentum of his victim had carried him",a further five metres,five further metres
4159,"But in those times the house in Vanves was not of easy access : the closest subway stop was Porte de Versailles ,",a good 20 minutes,20 good minutes
4160,"Thus in New York city where I had been living for the last 20 years , I rarely saw my compatriots of the Georgian Colony — a small group of mainly elderly gentlemen and ladies given to meet periodically and reminisce about the heroic times when the yoke of the Tsarist imperial power was shaken off , the foundation of a democratic state established , the dream of independence nurtured , only to be shattered seemingly for ever after",a scant three years,three scant years
4161,It was hardly believable she had been living in the States,a scant three months,three scant months
4164,It usually took,a solid three hours,three solid hours
4165,Took,a solid ten hours,ten solid hours
4168,This is going to be,an interesting eight weeks,eight interesting weeks
4169,This is going to be,an interesting eight weeks,eight interesting weeks
4171,""" This is going to be",a frustrating eight weeks,eight frustrating weeks
4172,"Zed replied , after having allowed",a whole thirty seconds,thirty whole seconds
4173,A couple from the forums ( who lived,a good 600 miles,600 good miles
4175,It was,a good five minutes,five good minutes
4177,I will admit that it would have probably been,a good twenty degrees,twenty good degrees
4178,Sara kissed and hugged Lucas for,a good five minutes,five good minutes
4179,She felt tired even after sleeping,a whole twelve hours,twelve whole hours
4181,I waited for,a good thirty seconds,thirty good seconds
4182,"You take the papyrus plant and strip the green skin off , you cut some of the inside bits off and put it in some water for 6 days or more then put in a special machine for",a further 6 days,6 further days
